densidad,estacion,aumento
10,primavera,116.7
10,primavera,150
10,primavera,166.7
10,primavera,182
10,primavera,143
10,primavera,220
10,primavera,201
10,primavera,188
10,primavera,169
10,verano,400
10,verano,383
10,verano,383
10,verano,402
10,verano,314
10,verano,402
10,verano,365
10,verano,378
10,verano,311
18,primavera,150
18,primavera,134
18,primavera,100
18,primavera,104
18,primavera,60
18,primavera,78
18,primavera,93
18,primavera,101
18,primavera,100
18,verano,244
18,verano,258
18,verano,275
18,verano,280
18,verano,299
18,verano,301
18,verano,289
18,verano,276
18,verano,260
24,primavera,95
24,primavera,102
24,primavera,61
24,primavera,74
24,primavera,79
24,primavera,88
24,primavera,81
24,primavera,68
24,primavera,63
24,verano,254
24,verano,183
24,verano,163
24,verano,178
24,verano,158
24,verano,195
24,verano,176
24,verano,148
24,verano,142
