municipio,comunidad,entrevistador,area_ejidatario,area_posesionario,area_propietario,area_total,area_rentada,area_ajena,cultivo_maiz,ha_maiz,ha_pastura,ha_vacantes,ultimo_ano_maiz,cambio_area_maiz,cambio_rendimiento_maiz,destino_tierra_donada,fertilizante,fertilizante_kg,herbicida,herbicida_lt,insecticida,insecticida_lt,fungicida,fungicida_lt,contratacion,familiares_trabajando,riego,labranza,variedad_maiz,variedad_numero,produccion_2009,rendimiento_2009,produccion_2008,rendimiento_2008,uso_domestico,uso_forraje,uso_venta,procampo,grano,grano_humano,grano_animal,grano_total,hari,hari_humano,hari_animal,hari_total,tortilla,tortilla_humano,tortilla_animal,tortilla_total,campesino,productor,agricultor,percepcion_comunidad,hijos_permanencia,maiz_10anos,ninos_mas_12,hombres_mas_12,mujeres_mas_12,total_personas_mas_12,estudiantes_mas_12,personas_contribuyendo,personas_cultivo,economia_separado,ingreso_maiz,ingreso_otros_cultivos,ingreso_gado,ingreso_trabajador_campo,ingreso_no_asalariado,ingreso_con_salario,ingreso_jubilacion,ingreso_remesas,ingreso_programas,ingreso_otros_apoyos,ingreso_otros,electricidad,internet,celular,automotor,tv,estufa,refrigerador,computadora,lavadora,personas_casa,sexo_jefe_familia,edad,escolaridad,lugar_trabajo,sector,pago,ingresos_extra,hr_no_agricultura,agricultura,hr_agricultura
almoloya,sanfrancisco,Pepe,2,0,0,2,2,0,si,2,0,0,2004,sincambio,NA,NA,si,100,si,2,no,0,no,0,si,2,no,tractor,hibrido,1,NA,NA,3000,1.5,0,1,0,si,no,0,0,0,no,0,0,0,si,7,0,7,no,si,no,otro,si,no,2,2,2,4,0,4,0,no,no,no,no,no,si,si,no,no,no,no,si,si,no,si,si,si,si,si,si,no,2,hombre,49,6,2,3,1,0,48,no,0
almoloya,sanfrancisco,Sonia,1,0,0,1,0,0,si,1,0,0,2009,disminuyo,sincambio,2,si,300,si,1,no,0,no,0,si,7,no,tractor,criollo,1,2400,2.4,2400,2.4,0.38,0,0.63,no,si,9,0,9,no,0,0,0,no,0,0,0,si,NA,NA,otro,si,no,0,1,1,2,0,1,2,no,si,no,no,no,no,si,no,no,no,no,no,si,no,no,no,si,si,si,no,no,2,hombre,70,1,4,2,2,0,72,si,36
almoloya,sanfrancisco,Sonia,0,0,2,2,0,0,si,2,0,0,2009,sincambio,disminuyo,2,si,NA,si,NA,no,0,no,0,si,0,no,tractor,criollo,1,3000,1.5,NA,NA,0,0,1,si,no,0,0,0,no,0,0,0,si,3.5,0,3.5,si,NA,NA,campo,no,si,0,1,2,3,0,3,0,no,si,no,no,no,si,no,no,no,no,no,no,si,si,si,si,si,si,si,si,no,2,hombre,63,4,3,3,1,0,60,no,0
almoloya,sanfrancisco,Tere,0.33,0,0,0.33,0,0,si,0.33,0,0,2009,sincambio,disminuyo,1,si,100,no,0,no,0,no,0,no,8,no,tractor,criollo,1,1800,5.4,900,2.7,1,0,0,no,si,9,0,9,no,0,0,0,no,0,0,0,si,no,no,campo,si,nose,1,3,3,6,1,1,2,no,no,no,no,no,si,no,no,no,no,si,no,si,no,no,no,si,si,no,no,no,5,hombre,38,4,2,2,1,0,49,si,2
almoloya,sanfrancisco,Tere,0.02,0,0,0.02,0,0,si,0.02,0,0,2009,sincambio,NA,1,si,150,no,0,no,0,no,0,no,5,no,tractor,criollo,1,120,6,NA,NA,1,0,0,no,no,0,0,0,no,0,0,0,si,21,0,21,si,no,no,campo,si,si,0,1,1,2,0,1,1,no,no,no,no,no,no,si,no,no,no,no,no,si,no,no,si,si,si,si,no,no,2,hombre,51,2,4,2,2,0,48,si,2
almoloya,sanfrancisco,Tere,0,0,0.17,0.17,0,0,si,0.17,0,0,2009,sincambio,aumento,2,si,200,si,2,no,0,no,0,no,1,no,tractor,criollo,2,1320,7.8,660,3.9,0.45,0.55,0,si,si,6,7,13,no,0,0,0,no,0,0,0,si,no,no,campo,si,nose,0,1,1,2,0,2,2,no,no,no,si,no,no,no,no,no,si,si,no,si,no,no,no,si,si,no,no,no,1,mujer,74,2,2,1,1,1,0,si,30
almoloya,sanfrancisco,Sonia,0,0,1,1,0,0,si,1,0,0,2009,sincambio,disminuyo,2,si,500,si,1,no,0,no,0,si,3,no,yunta,criollo,1,1080,1.1,1800,1.8,1,0,0,no,si,15,0,15,no,0,0,0,no,0,0,0,si,no,si,otro,si,NA,2,1,1,2,0,1,1,no,no,no,no,no,si,no,no,no,no,no,no,si,no,no,no,si,si,no,no,no,1,hombre,34,3,2,2,1,0,48,si,11
almoloya,sanfrancisco,Sonia,2,0,0,2,0,0,si,2,0,0,2009,sincambio,disminuyo,2,si,1000,si,5,no,0,no,0,no,2,no,tractor,criollo,1,NA,NA,5000,2.5,0.1,0,0.9,si,si,9,0,9,no,0,0,0,no,0,0,0,si,no,no,ciudad,si,si,0,1,3,4,1,1,1,no,si,no,no,no,no,no,no,no,si,no,no,si,no,no,no,si,si,si,no,no,1,hombre,53,2,2,1,1,0,0,si,30
almoloya,sanfrancisco,Sonia,1,0,0,1,0,0,si,1,0,0,2009,sincambio,sincambio,2,si,250,si,2,no,0,no,0,no,6,no,tractor,criollo,2,1800,1.8,480,0.5,1,0,0,no,si,12,0,12,no,0,0,0,no,0,0,0,si,si,si,campo,si,no,4,3,3,6,0,4,2,no,no,no,no,no,si,si,no,no,no,no,no,si,no,no,si,si,si,si,no,si,2,hombre,44,2,4,2,1,0,48,si,6
almoloya,sanfrancisco,Tere,0.5,0,0,0.5,0,0,si,0.5,0,0,2009,sincambio,disminuyo,2,si,250,si,2,no,0,no,0,no,6,no,tractor,criollo,1,1200,2.4,1800,3.6,0.27,0,0,no,si,10.5,0,10.5,no,0,0,0,no,0,0,0,si,NA,NA,campo,si,si,0,5,1,6,1,4,6,no,no,no,no,no,si,si,no,no,no,no,no,si,no,no,no,si,si,no,no,no,2,hombre,50,4,2,2,1,0,48,si,12
